ProductName,MeanValue
10 Colour Spaceboy Pen,21.268538461538462
12 Coloured Party Balloons,12.614384615384616
12 Daisy Pegs In Wood Box,3.2170000000000005
12 Egg House Painted Wood,1.4577692307692307
12 Hanging Eggs Hand Painted,0.608
12 Ivory Rose Peg Place Settings,4.8255384615384616
12 Message Cards With Envelopes,7.041615384615384
12 Pencil Small Tube Woodland,14.077769230769231
12 Pencils Small Tube Red Retrospot,15.461076923076924
12 Pencils Small Tube Skull,22.09853846153846
12 Pencils Tall Tube Posy,11.264615384615384
12 Pencils Tall Tube Red Retrospot,10.550846153846154
12 Pencils Tall Tube Skulls,8.202615384615385
12 Pencils Tall Tube Woodland,7.781076923076924
12 Pink Hen+Chicks In Basket,0.7076923076923076
12 Pink Rose Peg Place Settings,3.271076923076923
12 Red Rose Peg Place Settings,3.9323846153846156
15 Pink Fluffy Chicks In Box,0.4230769230769231
15cm Christmas Glass Ball 20 Lights,2.623076923076923
16 Piece Cutlery Set Pantry Design,2.239769230769231
18pc Wooden Cutlery Set Disposable,4.042846153846154
2 Daisies Hair Comb,1.1538461538461537
2 Picture Book Eggs Easter Bunny,2.7534615384615386
2 Picture Book Eggs Easter Chicks,3.0448461538461538
2 Picture Book Eggs Easter Ducks,2.3044615384615383
20 Dolly Pegs Retrospot,10.517230769230768
200 Bendy Skull Straws,11.996153846153845
200 Red + White Bendy Straws,5.967846153846154
3 Birds Canvas Screen,0.15384615384615385
3 Black Cats W Hearts Blank Card,1.1538461538461537
3 Drawer Antique White Wood Cabinet,3.5511538461538454
3 Gardenia Morris Boxed Candles,2.835153846153846
3 Hearts Hanging Decoration Rustic,7.858538461538462
3 Hook Hanger Magic Garden,8.01046153846154
3 Hook Photo Shelf Antique White,4.293615384615385
3 Piece Spaceboy Cookie Cutter Set,6.606923076923076
3 Pink Hen+Chicks In Basket,0.6153846153846154
3 Raffia Ribbons 50'S Christmas,3.249615384615385
3 Raffia Ribbons Vintage Christmas,2.5623076923076926
3 Rose Morris Boxed Candles,3.5999230769230772
3 Stripey Mice Feltcraft,6.66176923076923
3 Tier Cake Tin Green And Cream,2.173
3 Tier Cake Tin Red And Cream,4.222153846153846
3 Tier Sweetheart Garden Shelf,1.171769230769231
3 Traditional Biscuit Cutters Set,5.806923076923078
3 White Choc Morris Boxed Candles,4.1525384615384615
3 Wick Christmas Briar Candle,0.3076923076923077
36 Doilies Vintage Christmas,14.219076923076923
36 Foil Heart Cake Cases,12.184153846153846
36 Foil Star Cake Cases,8.568307692307693
36 Pencils Tube Posy,1.6111538461538462
36 Pencils Tube Red Retrospot,10.85723076923077
36 Pencils Tube Skulls,7.187153846153846
36 Pencils Tube Woodland,10.665692307692307
3d Christmas Stamps Stickers,4.806384615384616
3d Dog Picture Playing Cards,3.458923076923077
3d Hearts Honeycomb Paper Garland,4.929615384615385
3d Sheet Of Cat Stickers,3.031538461538461
3d Sheet Of Dog Stickers,3.9256923076923083
3d Traditional Christmas Stickers,4.811923076923076
3d Vintage Christmas Stickers,5.237384615384615
4 Blue Dinner Candles Silver Flock,2.4231538461538467
4 Burgundy Wine Dinner Candles,1.8718461538461537
4 Gold Flock Christmas Balls,0.15384615384615385
4 Ivory Dinner Candles Silver Flock,3.832846153846153
4 Lavender Botanical Dinner Candles,4.805999999999999
4 Lily Botanical Dinner Candles,3.4762307692307695
4 Pear Botanical Dinner Candles,3.4899999999999998
4 Pink Dinner Candle Silver Flock,2.8307692307692305
4 Pink Flock Christmas Balls,0.9003076923076924
4 Purple Flock Dinner Candles,2.4992307692307687
4 Rose Pink Dinner Candles,4.714230769230769
4 Sky Blue Dinner Candles,2.256
4 Traditional Spinning Tops,11.838846153846154
4 Vanilla Botanical Candles,4.388230769230769
4 Wildflower Botanical Candles,2.6111538461538464
5 Hook Hanger Magic Toadstool,3.8430000000000004
5 Hook Hanger Red Magic Toadstool,22.70423076923077
5 Strand Glass Necklace Amber,0.38461538461538464
5 Strand Glass Necklace Amethyst,0.34615384615384615
5 Strand Glass Necklace Black,0.7307692307692307
5 Strand Glass Necklace Crystal,0.6692307692307692
50'S Christmas Gift Bag Large,4.607923076923077
50'S Christmas Paper Gift Bag,4.198846153846154
50cm Metal String With 7 Clips,6.839769230769231
6 Chocolate Love Heart T-Lights,6.905692307692307
6 Egg House Painted Wood,1.9681538461538461
6 Gift Tags 50'S Christmas,4.38823076923077
6 Gift Tags Vintage Christmas,5.081307692307691
6 Ribbons Elegant Christmas,5.809923076923076
6 Ribbons Empire,5.432538461538462
6 Ribbons Rustic Charm,9.119923076923076
6 Ribbons Shimmering Pinks,5.289384615384615
6 Rocket Balloons,9.883769230769229
60 Cake Cases Dolly Girl Design,16.487000000000002
60 Cake Cases Vintage Christmas,17.480615384615387
60 Gold And Silver Fairy Cake Cases,0.15384615384615385
60 Teatime Fairy Cake Cases,20.120153846153848
6pc Wood Plate Set Disposable,3.4158461538461538
72 Sweetheart Fairy Cake Cases,21.767769230769236
75 Black Petit Four Cases,1.3846153846153846
75 Green Fairy Cake Cases,1.5461538461538462
75 Green Petit Four Cases,5.128230769230769
A Pretty Thank You Card,1.8130000000000002
A4 Wall Tidy Blue Office,6.9486923076923075
A4 Wall Tidy Red Flowers,0.6923076923076923
Abc Treasure Book Box,7.024923076923078
Abstract Circle Journal,2.2716923076923075
Abstract Circles Pocket Book,3.949538461538461
Abstract Circles Sketchbook,2.0719999999999996
Acrylic Geometric Lamp,0.9711538461538461
Acrylic Hanging Jewel Blue,3.9584615384615387
Acrylic Hanging Jewel Pink,4.115384615384615
Acrylic Jewel Angel Pink,3.0
Acrylic Jewel Icicle Blue,2.3846153846153846
Acrylic Jewel Icicle Pink,6.112846153846154
Acrylic Jewel Snowflake Pink,6.6666923076923075
Adult Apron Apple Delight,7.022153846153847
Advent Calendar Gingham Sack,3.373769230769231
Afghan Slipper Sock Pair,6.828999999999999
Aged Glass Silver T-Light Holder,29.965769230769236
Airline Bag Vintage Jet Set Brown,2.12
Airline Bag Vintage Jet Set Red,2.4431538461538462
Airline Bag Vintage Jet Set White,2.1340769230769228
Airline Bag Vintage Tokyo 78,2.9568461538461537
Airline Bag Vintage World Champion,1.8469230769230773
Airline Lounge Metal Sign,2.469076923076923
Alarm Clock Bakelike Chocolate,4.573307692307692
Alarm Clock Bakelike Green,6.611615384615386
Alarm Clock Bakelike Ivory,4.817461538461538
Alarm Clock Bakelike Orange,4.656615384615384
Alarm Clock Bakelike Pink,6.570769230769231
Alarm Clock Bakelike Red,7.312076923076922
Alphabet Hearts Sticker Sheet,6.289923076923076
Alphabet Stencil Craft,14.831769230769229
Aluminium Stamped Heart,4.381230769230769
Amber 3 Bead Drop Earrings,0.38461538461538464
Amber Bertie Glass Bead Bag Charm,0.16238461538461538
Amber Bertie Mobile Phone Charm,0.15384615384615385
Amber Chunky Bead Bracelet W Strap,0.7692307692307693
Amber Chunky Glass+Bead Necklace,0.3076923076923077
Amber Crystal Drop Earrings,0.23076923076923078
Amber Diamante Expandable Ring,1.3974615384615385
Amber Drop Earrings W Long Beads,1.3076923076923077
Amber Fine Bead Necklace W Tassel,0.34615384615384615
Amber Glass Tassle Bag Charm,0.5769230769230769
Amber Glass/Shell/Pearl Necklace,0.38461538461538464
Amber Glass/Silver Bracelet,1.0256153846153846
